State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
3600,02/01/2020,-1.09,0.813,4.46,3.56,0.203,-5.96,-6.9,2.1,3.92
4400,02/01/2020,-1.83,-4.18,-9.07,5.66,-1.02,8.9,15.8,1.78,4.16
900,02/02/2020,-1.14,2.3,9.19,7.46,1.51,-5.05,-11.5,3.08,4.37
2500,02/02/2020,-1.26,1.97,11.6,3.45,-2.13,-2.66,-5.46,0.59,3.67
3400,02/02/2020,-1.47,3,-1.24,2.5,-1.36,-8.06,-6.05,0.602,2.49
3600,02/02/2020,-1.34,1.96,6.18,3.46,0.137,-5,-11.5,1.88,3.6
4400,02/02/2020,-0.677,-5.99,-2.42,5.64,-1.93,12.6,13.9,0.934,3.34
900,02/03/2020,0.0277,3.63,16.6,9.24,-0.0925,-1.99,-9.58,2.51,4.69
2500,02/03/2020,0.5,3.69,16.4,7.1,-2.73,-2.42,-0.881,1.36,6.14
3400,02/03/2020,-0.572,4.52,3.14,3.41,-4.05,-4.04,-4.65,-0.574,2.98
3600,02/03/2020,0.424,3.15,8.65,4.43,-0.847,-2.69,-6.63,2.58,6.08
4400,02/03/2020,-1.67,-7.64,2.64,8.53,-3.36,7.05,2.92,1.48,6.1
900,02/04/2020,-0.0705,3.84,8.23,9.93,0.555,0.0158,-12.3,0.893,1.2
2500,02/04/2020,1.33,2.5,18.4,3.05,-0.249,-2.44,-4.2,0.721,1.87
3400,02/04/2020,0.087,4.06,5.22,3.4,-1.71,0.521,-10.2,1.59,4.98
3600,02/04/2020,1.02,3.5,9.32,2.07,1.2,-3.19,-7.22,3.02,4.9
4400,02/04/2020,0.313,-5.39,25.2,4.07,-2.24,1.46,-8.69,-0.139,1.78
900,02/05/2020,0.309,2.19,4.3,6.72,4.24,-1.21,-7.8,0.576,-2.2
2500,02/05/2020,1.13,1.16,18.8,2.09,1.15,0.274,-6.79,2.07,3.21
3400,02/05/2020,0.481,3.75,7.09,2.29,0.316,0.399,-10.4,2.07,3.85
3600,02/05/2020,1.5,2.13,15.7,-1.48,3.3,-3.27,-7.96,2.85,2.51
4400,02/05/2020,-0.137,-5.2,10.7,0.037,-0.953,-4.12,-21.8,3.71,8.37
900,02/06/2020,-0.93,-0.0887,8.13,3.54,3.69,-4.4,-8.64,-0.31,-3.33
2500,02/06/2020,-0.0754,-1.08,12.1,-0.197,0.341,-0.709,-8.66,0.327,0.471
3400,02/06/2020,-0.0335,1.72,9.24,0.443,0.74,-0.374,-7.34,1.53,2.33
3600,02/06/2020,-0.343,0.372,13.8,-4.18,2.17,-6.31,-7.17,0.399,-1.19
4400,02/06/2020,-0.82,-2.62,16.3,-3.25,-3.8,-9.7,-21.9,2.62,9.31
900,02/07/2020,-0.442,-0.429,14.2,-0.28,0.626,-5.16,-10,-2.62,-5.07
2500,02/07/2020,-0.333,-2.59,9.57,-1.95,0.117,1.15,-7.1,0.282,0.687
3400,02/07/2020,-0.929,-0.521,9.42,-2.18,-1.45,-1.9,-5.56,-0.78,-0.0751
3600,02/07/2020,-2.54,-3.11,13.9,-7.68,-1.48,-7.66,-8.89,-2.82,-3.97
4400,02/07/2020,-0.578,-5.53,25.4,1.6,-3.04,-15.3,-30.7,1.36,5.97
900,02/08/2020,-1.15,-1.82,16.8,0.821,-4.97,-1.42,-9.17,-4.6,-4.26
2500,02/08/2020,-0.0484,-2.03,10.2,-2.56,0.905,-1.53,-6.99,-1.63,-4.22
3400,02/08/2020,-0.215,0.139,13.3,-2.77,-1.4,0.198,-3.52,-1.06,-0.654
3600,02/08/2020,-2.08,-4.56,12.9,-7.42,-1.52,-4.11,-8.16,-2.6,-3.48
4400,02/08/2020,-1.7,-2.89,35,0.512,-0.0541,-20.9,-31.4,0.22,0.601
900,02/09/2020,0.381,-1.5,15.8,1.92,-1.56,1.65,-8.94,-1.92,-2.17
2500,02/09/2020,1.39,-1.8,8.37,-2.09,4.61,-2.14,-2.36,-0.0719,-4.79
3400,02/09/2020,0.748,1.14,10.5,-2.41,1.04,0.172,-2.34,0.3,-0.309
3600,02/09/2020,-0.882,-4.75,12.4,-6.28,1.04,-3.24,-5.97,-0.951,-2.67
4400,02/09/2020,-1.61,-4.62,27.5,1.01,5.34,-26.5,-30.6,5.46,5.8
900,02/10/2020,-1.87,-3.32,7.47,-0.941,-1.81,4.06,-10.8,-3.26,-4.32
2500,02/10/2020,-1.13,-4.42,1.89,-5.68,6.32,-0.774,-8.32,-0.788,-7.99
3400,02/10/2020,-0.472,-0.61,8.88,-3.98,3.71,-0.425,-5.24,1.04,-1.39
3600,02/10/2020,-3.39,-6.71,11.8,-7.69,2.85,-5.76,-12.4,-1.3,-4.96
4400,02/10/2020,-3.84,-5.16,24.6,-6.39,7.77,-27,-31.2,2.18,-2.63
900,02/11/2020,-2.75,-5.13,17.2,-2.13,-5.25,-2.21,-10.7,-3.57,-2.26
2500,02/11/2020,-2.46,-5.02,-2.17,-5.13,2.52,-2.47,-0.791,-1.68,-5.98
3400,02/11/2020,-1.21,-1.33,6.76,-2.69,0.611,-0.437,-2.8,-0.813,-2.12
3600,02/11/2020,-4.25,-7.56,8.4,-7.46,0.565,-4.36,-11.5,-2.54,-5.31
4400,02/11/2020,-4.43,-5.4,13.3,-1.54,4.74,-22.2,-22.1,0.827,-2.73
900,02/12/2020,0.248,-3.28,23.6,4.65,-1.92,0.661,-14,2.34,5.73
2500,02/12/2020,-1.96,-2.52,-3.75,-2.18,2.97,-1.33,-3.95,-1.47,-6.09
3400,02/12/2020,1.05,-0.508,7.93,2.1,2.93,3.15,-0.586,2.75,2.63
3600,02/12/2020,-2.1,-5.89,6.6,-1.42,3.46,1.4,-9.53,1.09,-1.04
4400,02/12/2020,-0.264,-3.74,16.8,4.76,5.38,-21.6,-3.52,3.87,2.42
900,02/13/2020,1.13,-2.35,25.3,7.52,-0.666,2.25,-13.8,4.11,7.89
2500,02/13/2020,-0.29,-1.59,1.05,0.216,5.08,-1.8,-1.43,0.673,-3.97
3400,02/13/2020,0.758,0.394,5.63,1.5,1.72,2.9,-0.912,2.09,2.49
3600,02/13/2020,-1.47,-5.38,7.5,-1.02,3.65,2.75,-7.63,1.89,0.301
4400,02/13/2020,-0.0021,-5.91,5.21,6.21,7.49,-8.08,-4.84,3.22,-0.657
900,02/14/2020,0.552,-1.27,16.5,8.57,-0.196,4.35,-13.9,4.51,8.28
2500,02/14/2020,-0.138,-1.9,-0.222,1.67,5.62,-10.4,-1.6,1.32,-3.32
3400,02/14/2020,0.984,-0.0529,4.97,2.24,2.2,5.16,-1.73,2.7,3.2
3600,02/14/2020,-0.461,-4.77,4.87,0.83,4.86,2.31,-6.01,2.89,1.07
4400,02/14/2020,-1.31,-6.85,-3.17,3.71,6.77,-4.88,-0.11,3.37,0.0144
900,02/15/2020,0.184,-1.28,14.3,5.84,-1.3,2.04,-15.7,2.94,6.28
2500,02/15/2020,-0.757,-1.24,-2.37,0.649,4.52,-10.9,-0.655,1.6,-1.48
3400,02/15/2020,-0.28,-1.35,0.261,0.028,0.0368,3.65,-3.04,0.859,1.69
3600,02/15/2020,-1,-2.97,5.66,-0.823,2.3,1.3,-4.02,1.14,0.0806
4400,02/15/2020,-0.0762,-8.15,-4.84,0.28,2.86,-5.59,-0.413,3.56,4.04
900,02/16/2020,-0.182,-1.13,13.9,4.62,-3.7,2.85,-12.8,1.61,5.74
2500,02/16/2020,-1.05,-0.46,1.84,0.865,2.6,-11,-0.574,0.247,-2.1
3400,02/16/2020,-0.379,-0.326,-0.551,0.786,-1.06,3.25,-2.01,0.434,1.92
3600,02/16/2020,-1.19,-1.68,7.98,-0.327,0.41,1.21,-3.74,0.286,0.178
4400,02/16/2020,0.622,-1.52,-1.36,-1.04,-2.31,-3.12,10.9,1.36,4.62
900,02/17/2020,2.79,-1.33,16.6,8.86,5.2,8.67,-14.3,7.02,8.31
2500,02/17/2020,2.53,-2.41,2.14,8.32,9.24,-9.42,-3.91,6.15,3.19
3400,02/17/2020,0.317,-1.63,-1.15,1.59,2.09,1.07,-3.93,1.73,1.51
3600,02/17/2020,1.1,-0.974,6.82,1.63,4.18,1.08,-3.5,3.13,2.17
4400,02/17/2020,6.06,1.3,0.972,12.7,-1.54,-25,35.8,7.81,16.7
900,02/18/2020,6.51,3.41,13.8,9.54,9.48,15.1,-15,7.81,6.56
2500,02/18/2020,2.54,-2.87,6.99,4.04,6.67,1.72,-7.31,2.72,-1.19
3400,02/18/2020,0.443,-3.9,-2.04,-3.34,0.71,3.88,-3.69,-1.46,-3.34
3600,02/18/2020,1.01,-2.38,8.08,-0.507,2.44,3.61,-3.15,0.379,-1.49
4400,02/18/2020,3.07,-2.45,-0.0794,1.33,-3.07,-13.7,5.42,4.57,11.6
900,02/19/2020,-2.43,-4.91,7.28,2.02,-3.54,-3.22,-17.4,-0.41,2.02
2500,02/19/2020,0.0396,-1.71,15.9,1.08,1.1,-8.77,-4.84,0.593,0.266
3400,02/19/2020,-2.29,-2.21,-3.52,-4.21,-3.89,-1,-6.2,-3.56,-3.16
3600,02/19/2020,-1.72,-2.35,8.6,-2.42,-2.41,-6,-6.57,-2.18,-2.01
4400,02/19/2020,-2.25,-2.18,-1.73,-2.6,-10.6,-7.2,-19.1,-5.04,-0.0313
900,02/20/2020,-2.44,-5.38,3.98,1.34,-5.21,-2.09,-15.7,-1.98,0.56
2500,02/20/2020,-0.544,-0.51,15.2,1.79,-0.582,-6.62,-4.44,-0.521,-0.22
3400,02/20/2020,-0.928,-0.725,-1.54,-1.38,-2.24,1.69,-7.77,-1.26,-0.216
3600,02/20/2020,-1.96,-1.67,6.29,-1.18,-2.89,-3.64,-6.99,-1.68,-0.639
4400,02/20/2020,-0.827,0.86,10.9,0.0614,-11.9,-7.34,-7.08,-6.31,-1.28
900,02/21/2020,-1.89,-4.91,-0.153,2.05,-3.72,-2.98,-13.4,-0.651,1.7
2500,02/21/2020,-0.398,-0.0338,12.1,3.8,-0.771,3.05,-6.05,0.902,2.98
3400,02/21/2020,-1.48,0.977,0.846,-2.28,-2.84,-0.948,-10.5,-2.05,-1.15
3600,02/21/2020,-1.93,-0.171,3.81,-1.35,-2.36,-5.58,-8.33,-0.457,1.19
4400,02/21/2020,-0.642,2.86,5.03,-1.31,-11,-11.4,-19.2,-5.32,-0.05
900,02/22/2020,-0.986,-4.75,-2.07,1.91,-1.1,-2.79,-10.1,0.185,1.14
2500,02/22/2020,0.443,-1.47,6.97,5.39,-0.795,3.92,-4.73,3.12,7.57
3400,02/22/2020,-1.32,2.01,2.77,-1.72,-2.26,-1.65,-12.2,-1.77,-1.15
3600,02/22/2020,-2.94,-2.9,0.632,-2.44,-2.56,-3.82,-7.92,-1.44,-0.483
4400,02/22/2020,-1.73,-1.36,3.97,-3.11,-12,-22.1,-21.6,-7.15,-2.8
900,02/23/2020,-0.661,-4.28,-1.8,1.71,-0.627,-3.73,-12.5,-0.0973,0.3
2500,02/23/2020,0.982,-1.92,4.84,7.68,0.284,4.21,-7.34,4.7,9.65
3400,02/23/2020,-1.67,1.23,3.15,-2.25,-2.21,-1.64,-12.5,-2.08,-1.82
3600,02/23/2020,-2.96,-3.75,-1.49,-3.03,-2.13,-5.1,-6.99,-0.972,0.0253
4400,02/23/2020,-1.02,-2.35,-0.395,-0.492,-9.94,-21.2,-29.5,-4.72,-0.0895
900,02/24/2020,-0.699,-2.15,-1.25,2.76,-0.697,-8.06,-11.1,0.412,1.26
2500,02/24/2020,2.04,0.884,8.18,10.1,-0.95,1.78,-5.5,6.3,14.5
3400,02/24/2020,-1.65,4.36,2.21,-1.96,-3.56,-3.21,-14,-2.15,-0.683
3600,02/24/2020,-2.75,-1.8,-0.606,-2.36,-3.54,-4.03,-7.65,-1.26,0.763
4400,02/24/2020,-0.418,-3.12,-4.75,-0.753,-9.13,-19.8,-18,-1.55,5.22
900,02/25/2020,-2.59,-6.06,-3.69,2.06,-0.525,-6.28,-12.9,-0.983,-1.42
2500,02/25/2020,2.32,-1.87,1.12,11.4,1.41,4.02,-3.45,7.03,13.3
3400,02/25/2020,-2.13,2.93,1.74,-2.73,-2.31,-2.77,-12.9,-2.23,-2.05
3600,02/25/2020,-3.26,-3.87,-0.457,-3.13,-0.863,-2.63,-8.91,-0.469,-0.141
4400,02/25/2020,1.01,-7.85,1.92,-2.97,-7.51,-23.6,-10.5,3.01,12.6
900,02/26/2020,0.0619,0.935,-5.74,3.88,2.13,-5.49,-11.5,0.781,-0.311
2500,02/26/2020,2.46,-1.08,-2.75,13.1,4.72,-0.326,-6.58,8.56,12.8
3400,02/26/2020,-0.623,3.68,1.73,-1.49,0.451,-1.58,-11.3,-0.0532,-0.4
3600,02/26/2020,-3.17,-2.65,0.482,-2.52,-0.125,-2.23,-9,0.21,0.479
4400,02/26/2020,-0.824,-6.62,-0.751,-0.51,-2.14,-16.3,-7.83,4.07,9.63
900,02/27/2020,-0.229,0.3,-9.99,6.01,2.7,-5.7,-14.8,2.16,1.69
2500,02/27/2020,2.15,-1.23,-6.36,14.1,4.96,-0.381,-6.24,9.38,14.4
3400,02/27/2020,-1.83,1.22,-2.24,-3.01,-0.397,-4.22,-10.5,-1.55,-2.46
3600,02/27/2020,-3.7,-4.46,-0.819,-1.33,-0.059,-4.87,-9.01,-0.276,-0.499
4400,02/27/2020,-0.415,-9.27,-11.5,-5.89,-0.15,-4.13,-17,8.69,16.5
900,02/28/2020,-1.88,-1.02,-12.1,7.1,3.38,-6.31,-20.9,1.87,0.745
2500,02/28/2020,2.07,-0.297,-7.82,15.1,6.74,-0.603,-8.87,9.75,13.1
3400,02/28/2020,-2.13,0.461,-8.15,-1.5,-0.0924,-4.2,-9.53,-0.726,-1.19
3600,02/28/2020,-5.16,-4.82,-0.728,-0.465,-0.948,-5.31,-12.3,-1.09,-1.25
4400,02/28/2020,-0.655,-11.2,-9.92,0.82,1.28,2.26,-12.8,10.1,17.9
900,02/29/2020,-1.17,-1.63,-7.83,9.79,3.64,-5.54,-21.7,2.97,2.48
2500,02/29/2020,2.69,-0.586,-3.82,16.6,8.21,0.487,-8.37,10.2,12.4
3400,02/29/2020,-0.516,-0.358,-3.31,1.84,0.466,-2.6,-6.82,1.14,1.89
3600,02/29/2020,-3.74,-4.66,2.4,2.12,0.751,-3.42,-12.8,0.566,0.379
4400,02/29/2020,-1.01,-14.3,-12.2,1.25,2.71,1.78,-11.9,15.1,26.4
900,03/01/2020,-2.56,-0.76,-12.4,11.3,2.06,-4.58,-24.6,2.95,3.62
2500,03/01/2020,-0.339,0.894,0.665,15.6,2.37,-3.42,-11.8,5.12,8.21
3400,03/01/2020,-1.82,-0.982,-12.2,4.25,1.6,-4.1,-9.1,2.57,3.56
3600,03/01/2020,-5,-3.12,-4.77,4.27,0.833,-8.02,-17.4,1.49,2.09
4400,03/01/2020,-3.09,-15.4,-17.5,1.57,1.35,15.7,-11.5,15.2,28.2
900,03/02/2020,1.21,0.579,-9.83,15.8,8.18,-1.8,-21.8,9,9.61
2500,03/02/2020,1.95,2.95,4.12,21.7,6.4,-3.66,-10.1,8.46,10.8
3400,03/02/2020,1.22,0.767,-7.52,6.39,4.74,-0.441,-8.91,5.34,6.02
3600,03/02/2020,-2.8,-2.48,0.208,6.71,3.34,-3.34,-16.4,3.42,3.54
4400,03/02/2020,-0.33,-9.47,-8.97,12.9,8.04,12.5,-35.9,20.8,32.9
900,03/03/2020,0.966,0.338,-9.21,13.3,5.33,-0.887,-21.4,6.25,6.91
2500,03/03/2020,1.54,4.39,2.49,19,5.96,-3.95,-14.1,7.03,8.29
3400,03/03/2020,1.8,1.25,-7.26,8.01,4.3,-0.0487,-5.88,5.76,7.25
3600,03/03/2020,-2.06,-2.22,0.38,7.15,2.91,-3.37,-13.3,3.16,3.51
4400,03/03/2020,-3.56,-22.2,-7.2,14.3,7.46,11,-39.4,20.9,34.1
900,03/04/2020,1.24,-1.11,-7.55,15.1,7.68,6.2,-26.7,8.27,8.67
2500,03/04/2020,2.72,3.44,0.406,19.6,7.96,-4.8,-12.9,9.31,11
3400,03/04/2020,1.2,0.466,-5.37,9.42,5.63,-1.92,-7.3,6.63,7.74
3600,03/04/2020,-2.54,-3.2,-0.542,7.75,3.4,-5.2,-16.5,4,4.74
4400,03/04/2020,-3.38,-18.3,-7.26,12.9,9.21,14.4,-49.6,19.5,29.5
900,03/05/2020,0.217,-3.75,-4.33,12.7,6.77,0.43,-29.3,7.71,8.4
2500,03/05/2020,2.97,3.92,5.56,17.9,7.96,-2.77,-11,9.38,11.2
3400,03/05/2020,1.07,0.207,-4.5,10.9,7.63,0.453,-10.7,8.34,9.21
3600,03/05/2020,-1.9,-2.86,-1.38,6.96,6.18,-4.77,-16.9,5.22,4.55
4400,03/05/2020,-1.19,-19.7,-12.8,11.8,10.1,5.92,-47.2,23,36.3
900,03/06/2020,-0.0808,-4.15,-4.17,10.6,8.1,-0.277,-28.2,8.31,8.42
2500,03/06/2020,2.3,2.68,3.67,18.2,9.27,-6.85,-15.9,9.36,9.77
3400,03/06/2020,0.544,-1.45,-3.9,11,9.3,0.0465,-12.4,9.21,9.34
3600,03/06/2020,-2.57,-3.37,-3.39,4.27,7.35,-4.61,-19,5.11,3.34
